user_id,name,review_count,fans,compliment_funny,compliment_hot,compliment_cute
8k3aO-mPeyhbR5HUucA5aA,Victor,14455,1271,3304,2129,55
RtGqdDBvvBCjcu5dUqwfzA,Shila,12772,285,166,96,7
hWDybu_KvYLSdEFzGrniTw,Bruce,12487,659,3605,2966,23
Hi10sGSZNxQH3NLyWSZ1oA,Fox,11112,2718,6981,3763,125
P5bUL3Engv-2z6kKohB6qQ,Kim,9875,774,1169,831,47
8RcEwGrFIgkt9WQ35E6SnQ,George,7745,287,98,36,4
nmdkHL2JKFx55T3nq5VziA,Nijole,7626,842,696,311,20
Xwnf20FKuikiHcSpcEbpKQ,Kenneth,6762,275,302,94,2
CxDOIDnH8gp9KXzpBHJYXw,Jennifer,6633,789,1653,734,68
HFECrzYDpgbS5EmTBtj2zQ,Eric,5500,421,3666,2116,113
